"path","status","bytes","phpWarn","lifebuoy","floating","form","gallery"
"/","200","178952","False","True","True","True","True"
"/uslugi/","200","126103","False","True","True","True","True"
"/o-centre/","200","125901","False","True","True","True","True"
"/kontakty/","200","75075","False","True","True","True","False"
"/blog/","200","77963","False","True","True","True","False"
"/uslugi/rasstroystva-pischevogo-povedeniya/","200","127456","False","True","True","True","True"
"/uslugi/zavisimosti/lechenie-alkogolnoy-zavisimosti/","200","132156","False","True","True","True","True"
"/uslugi/psihicheskoe-zdorovie/nartsissizm/","200","115604","False","True","True","True","True"
"/o-centre/programma-lecheniya/genotipirovanie/","200","67384","False","True","True","True","False"
"/blog/sryvy-i-retsidivy-signal-k-korrektirovke/","200","76329","False","True","True","True","False"
