route,http,fatal,result,notes
/,200,0,PASS,
/uslugi/,200,0,PASS,
/uslugi/zavisimosti/,200,0,PASS,
/uslugi/psihicheskoe-zdorovie/,200,0,PASS,
/uslugi/rasstroystva-pischevogo-povedeniya/,200,0,PASS,
/uslugi/psihicheskoe-zdorovie/depressiya/,200,0,PASS,#78 final placeholder
/uslugi/zavisimosti/lechenie-alkogolnoy-zavisimosti/,200,0,PASS,#74
/uslugi/zavisimosti/lechenie-narkoticheskoy-zavisimosti/,200,0,PASS,#314
/uslugi/psihicheskoe-zdorovie/trevozhnye-rasstroystva/,200,0,PASS,#81
/uslugi/rasstroystva-pischevogo-povedeniya/anoreksiya/,200,0,PASS,#85
/blog/,200,0,PASS,
/specyalisty/,200,0,PASS,
/o-centre/,200,0,PASS,
/kontakty/,200,0,PASS,
