post_id,title,field_name,field_type,current_value_state,existing_value_preview,seed_required,proposed_seed_source,preserve_existing,notes
316,"Поведенческие зависимости",service_general_nav_visible,true_false,empty,,yes,page_title_or_neutral_demo,no,
316,"Поведенческие зависимости",service_general_intro_visible,true_false,empty,,yes,page_title_or_neutral_demo,no,
316,"Поведенческие зависимости",service_general_intro_heading,text,empty,,yes,page_title_or_neutral_demo,no,
316,"Поведенческие зависимости",service_general_intro_highlight,textarea,empty,,yes,page_title_or_neutral_demo,no,
316,"Поведенческие зависимости",service_general_bordered_info_visible,true_false,empty,,yes,page_title_or_neutral_demo,no,
316,"Поведенческие зависимости",service_general_bordered_info_items,repeater,empty,,yes,page_title_or_neutral_demo,no,
316,"Поведенческие зависимости",service_general_mid_cta_visible,true_false,empty,,yes,page_title_or_neutral_demo,no,
316,"Поведенческие зависимости",cta_title,text,empty,,yes,page_title_or_neutral_demo,no,
316,"Поведенческие зависимости",cta_text,textarea,empty,,yes,page_title_or_neutral_demo,no,
316,"Поведенческие зависимости",cta_button_label,text,empty,,yes,page_title_or_neutral_demo,no,
316,"Поведенческие зависимости",cta_button_target,url,empty,,yes,page_title_or_neutral_demo,no,
316,"Поведенческие зависимости",service_general_signs_visible,true_false,empty,,yes,page_title_or_neutral_demo,no,
316,"Поведенческие зависимости",service_general_signs_heading,text,empty,,yes,page_title_or_neutral_demo,no,
316,"Поведенческие зависимости",service_general_signs_intro,textarea,empty,,yes,page_title_or_neutral_demo,no,
316,"Поведенческие зависимости",service_general_signs_items,repeater,empty,,yes,page_title_or_neutral_demo,no,
316,"Поведенческие зависимости",service_general_signs_editorial,textarea,empty,,yes,page_title_or_neutral_demo,no,
316,"Поведенческие зависимости",service_general_approach_visible,true_false,empty,,yes,page_title_or_neutral_demo,no,
316,"Поведенческие зависимости",service_general_approach_heading,text,empty,,yes,page_title_or_neutral_demo,no,
316,"Поведенческие зависимости",service_general_approach_more_label,text,empty,,yes,page_title_or_neutral_demo,no,
