path,staged_status,manifest_included,scope_ok,result,notes
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/DOCS/HOME-PAGE-ADMIN-PARITY-MODEL-v1.md,A,partial,yes,PASS,
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/DOCS/SERVICE-GENERAL-ADMIN-PARITY-MODEL-v1.md,A,partial,yes,PASS,
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/DOCS/SERVICE-LAYOUT-VARIANT-GOVERNANCE-v1.md,A,partial,yes,PASS,
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/DOCS/SERVICE-SECTION-ADMIN-PARITY-MODEL-v1.md,A,partial,yes,PASS,
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/DOCS/SERVICES-HUB-ADMIN-PARITY-MODEL-v1.md,A,partial,yes,PASS,
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/PROJECT-STATUS.md,M,yes,yes,PASS,
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/FREEZE-FP-0002-V9-06E42-HOME-ACCEPTED.md,A,yes,yes,PASS,
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/FREEZE-FP-0002-V9-06E44-SERVICES-HUB-ACCEPTED.md,A,yes,yes,PASS,
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/FREEZE-FP-0002-V9-06E47-SERVICE-GENERAL-ACCEPTED.md,A,yes,yes,PASS,
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/FREEZE-FP-0002-V9-06E49-FULL-SERVICE-ROLLOUT-ACCEPTED-AFTER-FIX01.md,A,yes,yes,PASS,
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/FREEZE-FP-0002-V9-06E49-FULL-SERVICE-ROLLOUT-ACCEPTED.md,A,yes,yes,PASS,
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/FREEZE-FP-0002-V9-06E50-SERVICE-SECTIONS-DEMO-ACF-SOT-ACCEPTED.md,A,yes,yes,PASS,
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/FREEZE-FP-0002-V9-06E51-PLACEHOLDER-MODE-ACCEPTED.md,A,yes,yes,PASS,
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/REPORT-FP-0002-V9-06E29C-E35-FIX01-selective-persistence.md,A,yes,yes,PASS,
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/REPORT-FP-0002-V9-06E29C-excel-structure-completion-generic-pages-favicon.md,A,yes,yes,PASS,
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/REPORT-FP-0002-V9-06E30-services-catalog-child-services-listing-controls.md,A,yes,yes,PASS,
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/REPORT-FP-0002-V9-06E31-program-pages-direction-links-validation-relax.md,A,yes,yes,PASS,
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/REPORT-FP-0002-V9-06E32-home-services-accordion-gallery-service-placeholder.md,A,yes,yes,PASS,
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/REPORT-FP-0002-V9-06E33-FIX01-uslugi-sliders-match-home-gallery.md,A,yes,yes,PASS,
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/REPORT-FP-0002-V9-06E33-service-image-admin-binding-placeholder-uslugi-slider.md,A,yes,yes,PASS,
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/REPORT-FP-0002-V9-06E34-specialists-child-pages-auto-slider.md,A,yes,yes,PASS,
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/REPORT-FP-0002-V9-06E35-FIX01-alcohol-article-image-restore.md,A,yes,yes,PASS,
