route,http,result,notes
"Home `/`",200,PASS,
"Services hub `/uslugi/`",200,PASS,
`/uslugi/zavisimosti/`,200,PASS,
`/uslugi/psihicheskoe-zdorovie/`,200,PASS,
`/uslugi/rasstroystva-pischevogo-povedeniya/`,200,PASS,
#74,200,PASS,
#314,200,PASS,
#78,200,PASS,
#81,200,PASS,
#85,200,PASS,
"E49 sample #1051",200,PASS,
"E49 sample #1050",200,PASS,
"E49 sample #1049",200,PASS,
"E49 sample #1048",200,PASS,
"E49 sample #1047",200,PASS,
/blog/,200,PASS,
/specyalisty/,200,PASS,
/o-centre/,200,PASS,
/kontakty/,200,PASS,
