"route","http","fatal","result","notes"
"/","200","False","PASS",""
"/uslugi/","200","False","PASS",""
"/uslugi/zavisimosti/","200","False","PASS",""
"/uslugi/psihicheskoe-zdorovie/","200","False","PASS",""
"/uslugi/rasstroystva-pischevogo-povedeniya/","200","False","PASS",""
"/uslugi/lechenie-narkoticheskoy-zavisimosti/","200","False","PASS",""
"/uslugi/lechenie-alkogolnoy-zavisimosti/","200","False","PASS",""
"/uslugi/depressiya/","200","False","PASS",""
"/blog/","200","False","PASS",""
"/specyalisty/","200","False","PASS",""
"/o-centre/","200","False","PASS",""
"/kontakty/","200","False","PASS",""
