"level","group_id","keyword","negative","result","note"
"global","CORV-G08-01","1с розница подключение тс пиот","работа программист","SAFE_PASS","Representative non-blocking check"
"global","CORV-G08-02","тс пиот 1с касса","руководство","SAFE_PASS","Representative non-blocking check"
"global","CORV-G06-10","маркировка автозапчастей 1с","с нуля","SAFE_PASS","Representative non-blocking check"
"global","CORV-G06-03","маркировка честный знак в 1с","учиться","SAFE_PASS","Representative non-blocking check"
"global","CORV-G06-01","настройка маркировки в 1с розница 2.3","superjob","SAFE_PASS","Representative non-blocking check"
"global","CORV-G07-01","программа 1с не работает","резюме","SAFE_PASS","Representative non-blocking check"
"global","CORV-G05-01","1с унф интеграция с сайтом","как стать","SAFE_PASS","Representative non-blocking check"
"global","CORV-G05-04","1с настроить синхронизацию","установка платформы бесплатно","SAFE_PASS","Representative non-blocking check"
"global","CORV-G03-04","изменить печатную форму 1с 8.3","сертификация специалиста","SAFE_PASS","Representative non-blocking check"
"global","CORV-G03-01","1с доработка отчетов","уроки","SAFE_PASS","Representative non-blocking check"
"global","CORV-G02-02","1с доработка через расширения","hh.ru","SAFE_PASS","Representative non-blocking check"
"global","CORV-G02-01","доработки программы 1с","вакансии","SAFE_PASS","Representative non-blocking check"
"direction","CORV-G08-01","1с розница подключение тс пиот","вакансия","SAFE_PASS","Representative non-blocking check"
"direction","CORV-G08-02","тс пиот в 1с унф","автозапчасти маркировка","SAFE_PASS","Representative non-blocking check"
"direction","CORV-G06-08","честный знак маркировка лекарств","доработка 1с","SAFE_PASS","Representative non-blocking check"
"direction","CORV-G06-13","маркировка строительных материалов 1с","битрикс","SAFE_PASS","Representative non-blocking check"
"direction","CORV-G06-03","маркировка честный знак в 1с унф","отчет","SAFE_PASS","Representative non-blocking check"
"direction","CORV-G06-01","маркировка в 1с","тс пиот","SAFE_PASS","Representative non-blocking check"
"direction","CORV-G06-02","маркировка в 1с розница настройка номенклатуры","как сделать","SAFE_PASS","Representative non-blocking check"
"direction","CORV-G05-02","интеграция 1с бухгалтерия и битрикс 24","доработка отчета","SAFE_PASS","Representative non-blocking check"
"direction","CORV-G05-04","синхронизация 1с","программист услуги","SAFE_PASS","Representative non-blocking check"
"direction","CORV-G03-05","1с печать внешней печатной формы","честный знак","SAFE_PASS","Representative non-blocking check"
"direction","CORV-G02-05","перенос доработок 1с","маркировка","SAFE_PASS","Representative non-blocking check"
"direction","CORV-G02-01","доработки 1с зуп","курсы","SAFE_PASS","Representative non-blocking check"
"group_cross","CORV-G08-01","1с розница подключение тс пиот","интеграц","SAFE_PASS","Representative non-blocking check"
"group_cross","CORV-G06-08","маркировка лекарств аптека","пив","SAFE_PASS","Representative non-blocking check"
"group_cross","CORV-G06-10","опубликован проект по маркировке автозапчастей","косметик","SAFE_PASS","Representative non-blocking check"
"group_cross","CORV-G06-03","маркировка честный знак в 1с ут","отчет","SAFE_PASS","Representative non-blocking check"
"group_cross","CORV-G06-01","настройка маркировки в 1с розница","честный знак","SAFE_PASS","Representative non-blocking check"
"group_cross","CORV-G07-02","ошибка 1с после обновления","не работает","SAFE_PASS","Representative non-blocking check"
"group_cross","CORV-G05-01","интеграция 1с с сайтом","касса","SAFE_PASS","Representative non-blocking check"
"group_cross","CORV-G05-04","1с синхронизация зуп бп","настройк обмен","SAFE_PASS","Representative non-blocking check"
"group_cross","CORV-G03-05","1с внешняя печатная форма","маркировка","SAFE_PASS","Representative non-blocking check"
"group_cross","CORV-G03-03","настройка печатных форм в 1с","рмк","SAFE_PASS","Representative non-blocking check"
"group_cross","CORV-G02-01","доработка 1с","печатная форма","SAFE_PASS","Representative non-blocking check"
"group_cross","CORV-G02-01","техническое на доработку 1с","печатная форма","SAFE_PASS","Representative non-blocking check"
"phrase_inline","CORV-G01-01","1с программист 2026 -вакансия -обучение -курсы -резюме -как стать","вакансия","SAFE_PASS","Representative non-blocking check"
"phrase_inline","CORV-G01-01","1с программист 2026 -вакансия -обучение -курсы -резюме -как стать","обучение","SAFE_PASS","Representative non-blocking check"
"phrase_inline","CORV-G01-01","1с программист 2026 -вакансия -обучение -курсы -резюме -как стать","курсы","SAFE_PASS","Representative non-blocking check"
"phrase_inline","CORV-G01-01","1с программист 2026 -вакансия -обучение -курсы -резюме -как стать","резюме","SAFE_PASS","Representative non-blocking check"
"phrase_inline","CORV-G01-01","1с программист 2026 -вакансия -обучение -курсы -резюме -как стать","как стать","SAFE_PASS","Representative non-blocking check"
"phrase_inline","CORV-G01-01","услуги программиста 1с","вакансия","SAFE_PASS","Representative non-blocking check"
"phrase_inline","CORV-G01-01","услуги программиста 1с","обучение","SAFE_PASS","Representative non-blocking check"
"phrase_inline","CORV-G01-01","услуги программиста 1с","курсы","SAFE_PASS","Representative non-blocking check"
"phrase_inline","CORV-G01-01","услуги программиста 1с","резюме","SAFE_PASS","Representative non-blocking check"
"phrase_inline","CORV-G01-01","услуги программиста 1с","как стать","SAFE_PASS","Representative non-blocking check"
"group_export","CORV-G08-01","1с розница подключение тс пиот","интеграц","SAFE_PASS","Representative non-blocking check"
"group_export","CORV-G06-05","маркировка пива 1с","не работает 1с","SAFE_PASS","Representative non-blocking check"
"group_export","CORV-G06-10","маркировка автозапчастей 1с","список маркируемых","SAFE_PASS","Representative non-blocking check"
"group_export","CORV-G06-03","агрегация кодов маркировки честный знак в 1с","сопровождение абонент","SAFE_PASS","Representative non-blocking check"
"group_export","CORV-G06-03","честный знак в 1с ут","сопровождение абонент","SAFE_PASS","Representative non-blocking check"
"group_export","CORV-G06-01","настройка маркировки в 1с ут 11","лекарств","SAFE_PASS","Representative non-blocking check"
"group_export","CORV-G07-01","программа 1с не работает","вакансия","SAFE_PASS","Representative non-blocking check"
"group_export","CORV-G05-03","1с мобильная касса настройка синхронизации","перенос","SAFE_PASS","Representative non-blocking check"
"group_export","CORV-G05-05","настройка обмена с честным знаком 1с","доработка отчета","SAFE_PASS","Representative non-blocking check"
"group_export","CORV-G03-01","доработка отчета 1с","интеграция","SAFE_PASS","Representative non-blocking check"
"group_export","CORV-G02-02","доработка типовой конфигурации 1с","перенос","SAFE_PASS","Representative non-blocking check"
"group_export","CORV-G02-01","примеры доработки 1с","печатная форма","SAFE_PASS","Representative non-blocking check"
