source_term,canonical_term,wordpress_post_id,current_post_status,final_disposition,populated,editorial_ready,fact_verified,seo_ready,publication_eligible,canonical_target,reason_not_eligible
АГС,АГС,2444,publish,APPROVED,YES,YES,YES,YES,YES,АГС,
Акцептор,Акцептор ссылки,2445,publish,APPROVED_RENAME,YES,YES,YES,YES,YES,Акцептор ссылки,
Алгоритм ранжирования,Алгоритм ранжирования,2446,publish,APPROVED,YES,YES,YES,YES,YES,Алгоритм ранжирования,
Алгоритмы поисковых систем,Алгоритм ранжирования,2447,draft,MERGED,NO,NO,N/A,NO,NO,Алгоритм ранжирования,disposition=MERGED; canonical_target=Алгоритм ранжирования
Анкор (анкорный текст),Анкорный текст,2448,publish,APPROVED_RENAME,YES,YES,YES,YES,YES,Анкорный текст,
Апдейт алгоритма,Апдейт алгоритма,2449,publish,APPROVED,YES,YES,YES,YES,YES,Апдейт алгоритма,
Асессор,Асессор,2450,publish,APPROVED,YES,YES,YES,YES,YES,Асессор,
"Атрибут rel=""nofollow""",Nofollow,2451,publish,APPROVED_RENAME,YES,YES,YES,YES,YES,Nofollow,
Аудит сайта (SEO-аудит),SEO-аудит,2452,publish,APPROVED_RENAME,YES,YES,YES,YES,YES,SEO-аудит,
Аутрич,Аутрич,2453,publish,APPROVED,YES,YES,YES,YES,YES,Аутрич,
Аффилированность,Аффилированность,2454,publish,APPROVED,YES,YES,YES,YES,YES,Аффилированность,
Баден-Баден (алгоритм),Баден-Баден,2455,publish,APPROVED_RENAME,YES,YES,YES,YES,YES,Баден-Баден,
Бан сайта,Бан сайта,2456,publish,APPROVED,YES,YES,YES,YES,YES,Бан сайта,
Безанкорная ссылка,Безанкорная ссылка,2457,publish,APPROVED,YES,YES,YES,YES,YES,Безанкорная ссылка,
Белая оптимизация,Белая оптимизация,2458,publish,APPROVED,YES,YES,YES,YES,YES,Белая оптимизация,
Биржа ссылок,Биржа ссылок,2459,publish,APPROVED,YES,YES,YES,YES,YES,Биржа ссылок,
Битые ссылки,Битые ссылки,2460,publish,APPROVED,YES,YES,YES,YES,YES,Битые ссылки,
Брендовый трафик,Брендовый трафик,2461,publish,APPROVED,YES,YES,YES,YES,YES,Брендовый трафик,
Быстрые ссылки (сайтлинки),Быстрые ссылки,2462,publish,APPROVED_RENAME,YES,YES,YES,YES,YES,Быстрые ссылки,
Веб-мастер,Веб-мастер,2463,publish,APPROVED,YES,YES,YES,YES,YES,Веб-мастер,
Веб-страница,Веб-страница,2464,draft,EXCLUDED,NO,NO,N/A,NO,NO,,disposition=EXCLUDED
Вертикальный поиск,Вертикальный поиск,2465,publish,APPROVED,YES,YES,YES,YES,YES,Вертикальный поиск,
Видимость сайта,Видимость сайта,2466,publish,APPROVED,YES,YES,YES,YES,YES,Видимость сайта,
Визит / Сессия,Сессия,2467,publish,APPROVED_RENAME,YES,YES,YES,YES,YES,Сессия,
Внешняя оптимизация,Внешняя оптимизация,2468,publish,APPROVED,YES,YES,YES,YES,YES,Внешняя оптимизация,
Внутренняя оптимизация,Внутренняя оптимизация,2469,publish,APPROVED,YES,YES,YES,YES,YES,Внутренняя оптимизация,
Внутренняя перелинковка,Внутренняя перелинковка,2470,publish,APPROVED,YES,YES,YES,YES,YES,Внутренняя перелинковка,
Вода в тексте,Вода в тексте,2471,publish,APPROVED,YES,YES,YES,YES,YES,Вода в тексте,
Воронка продаж,Воронка продаж,2472,publish,APPROVED,YES,YES,YES,YES,YES,Воронка продаж,
ВЧ / СЧ / НЧ запросы,Частотность запроса,2473,draft,MERGED,NO,NO,N/A,NO,NO,Частотность запроса,disposition=MERGED; canonical_target=Частотность запроса
Геозависимый запрос,Геозависимый запрос,2474,publish,APPROVED,YES,YES,YES,YES,YES,Геозависимый запрос,
Геонезависимый запрос,Геонезависимый запрос,2475,publish,APPROVED,YES,YES,YES,YES,YES,Геонезависимый запрос,
Главная страница сайта,Главная страница сайта,2476,publish,APPROVED,YES,YES,YES,YES,YES,Главная страница сайта,
Главное зеркало сайта,Главное зеркало сайта,2477,publish,APPROVED,YES,YES,YES,YES,YES,Главное зеркало сайта,
Глубина вложенности,Глубина вложенности,2478,publish,APPROVED,YES,YES,YES,YES,YES,Глубина вложенности,
Гостевой постинг,Аутрич,2479,draft,MERGED,NO,NO,N/A,NO,NO,Аутрич,disposition=MERGED; canonical_target=Аутрич
ГС,Главная страница сайта,2480,draft,MERGED,NO,NO,N/A,NO,NO,Главная страница сайта,disposition=MERGED; canonical_target=Главная страница сайта
Дашборд (Dashboard),Дашборд,2481,publish,APPROVED_RENAME,YES,YES,YES,YES,YES,Дашборд,
Длинный хвост (long tail),Длинный хвост,2482,publish,APPROVED_RENAME,YES,YES,YES,YES,YES,Длинный хвост,
Домен,Домен,2483,draft,EXCLUDED,NO,NO,N/A,NO,NO,,disposition=EXCLUDED
Донор ссылки,Донор ссылки,2484,publish,APPROVED,YES,YES,YES,YES,YES,Донор ссылки,
Дорвей,Дорвей,2485,publish,APPROVED,YES,YES,YES,YES,YES,Дорвей,
Дубли страниц,Дубли страниц,2486,publish,APPROVED,YES,YES,YES,YES,YES,Дубли страниц,
Естественные ссылки,Естественные ссылки,2487,publish,APPROVED,YES,YES,YES,YES,YES,Естественные ссылки,
Заголовки H1–H6,Заголовки H1–H6,2488,publish,APPROVED_RENAME,YES,YES,YES,YES,YES,Заголовки H1–H6,
Запрос информационный,Информационный запрос,2489,publish,APPROVED_RENAME,YES,YES,YES,YES,YES,Информационный запрос,
Запрос коммерческий,Коммерческий запрос,2490,publish,APPROVED_RENAME,YES,YES,YES,YES,YES,Коммерческий запрос,
Запрос навигационный,Навигационный запрос,2491,publish,APPROVED_RENAME,YES,YES,YES,YES,YES,Навигационный запрос,
Заспамленность текста,Заспамленность текста,2492,publish,APPROVED,YES,YES,YES,YES,YES,Заспамленность текста,
Зеркало сайта,Главное зеркало сайта,2493,draft,MERGED,NO,NO,N/A,NO,NO,Главное зеркало сайта,disposition=MERGED; canonical_target=Главное зеркало сайта
Индекс,Индекс,2494,publish,APPROVED,YES,YES,YES,YES,YES,Индекс,
Индекс качества сайта (ИКС),ИКС,2495,publish,APPROVED_RENAME,YES,YES,YES,YES,YES,ИКС,
Индексация,Индексация,2496,publish,APPROVED,YES,YES,YES,YES,YES,Индексация,
Интент,Поисковый интент,2497,publish,APPROVED_RENAME,YES,YES,YES,YES,YES,Поисковый интент,
Исходящие ссылки,Ссылка,2498,draft,MERGED,NO,NO,N/A,NO,NO,Ссылка,disposition=MERGED; canonical_target=Ссылка
Каннибализация запросов,Каннибализация запросов,2499,publish,APPROVED,YES,YES,YES,YES,YES,Каннибализация запросов,
Канонический URL (canonical),Канонический URL,2500,publish,APPROVED_RENAME,YES,YES,YES,YES,YES,Канонический URL,
КАПЧА (CAPTCHA),CAPTCHA,2501,publish,APPROVED_RENAME,YES,YES,YES,YES,YES,CAPTCHA,
Карта сайта (sitemap.xml),Карта сайта,2502,publish,APPROVED_RENAME,YES,YES,YES,YES,YES,Карта сайта,
Кластеризация запросов,Кластеризация запросов,2503,publish,APPROVED,YES,YES,YES,YES,YES,Кластеризация запросов,
Клик,Клик,2504,publish,APPROVED,YES,YES,YES,YES,YES,Клик,
Кликфрод,Кликфрод,2505,publish,APPROVED,YES,YES,YES,YES,YES,Кликфрод,
Ключевое слово,Ключевое слово,2506,publish,APPROVED,YES,YES,YES,YES,YES,Ключевое слово,
Конверсия,Конверсия,2507,publish,APPROVED,YES,YES,YES,YES,YES,Конверсия,
Конкурентность запроса,Конкурентность запроса,2508,publish,APPROVED,YES,YES,YES,YES,YES,Конкурентность запроса,
Контент,Контент,2509,draft,DEFERRED,NO,NO,N/A,NO,NO,,disposition=DEFERRED
Контент-маркетинг,Контент-маркетинг,2510,publish,APPROVED,YES,YES,YES,YES,YES,Контент-маркетинг,
Копирайтинг,Копирайтинг,2511,publish,APPROVED,YES,YES,YES,YES,YES,Копирайтинг,
Крауд-маркетинг,Аутрич,2512,draft,MERGED,NO,NO,N/A,NO,NO,Аутрич,disposition=MERGED; canonical_target=Аутрич
Краулер (поисковый робот),Поисковый робот,2513,publish,APPROVED_RENAME,YES,YES,YES,YES,YES,Поисковый робот,
Краулинг,Краулинг,2514,publish,APPROVED,YES,YES,YES,YES,YES,Краулинг,
Краулинговый бюджет,Краулинговый бюджет,2515,publish,APPROVED,YES,YES,YES,YES,YES,Краулинговый бюджет,
Лайк и шара,Лайк и шара,2516,draft,EXCLUDED,NO,NO,N/A,NO,NO,,disposition=EXCLUDED
Лендинг (посадочная страница),Посадочная страница,2517,publish,APPROVED_RENAME,YES,YES,YES,YES,YES,Посадочная страница,
Лид,Лид,2518,publish,APPROVED,YES,YES,YES,YES,YES,Лид,
Линкбилдинг,Линкбилдинг,2519,publish,APPROVED,YES,YES,YES,YES,YES,Линкбилдинг,
Матрикснет (Matrixnet),MatrixNet,2520,publish,APPROVED_RENAME,YES,YES,YES,YES,YES,MatrixNet,
Мета-тег Keywords,Метатеги,2521,draft,MERGED,NO,NO,N/A,NO,NO,Метатеги,disposition=MERGED; canonical_target=Метатеги
Метатеги,Метатеги,2522,publish,APPROVED,YES,YES,YES,YES,YES,Метатеги,
Микроразметка (Schema.org),Микроразметка,2523,publish,APPROVED_RENAME,YES,YES,YES,YES,YES,Микроразметка,
Минусинск (алгоритм),Минусинск,2524,publish,APPROVED_RENAME,YES,YES,YES,YES,YES,Минусинск,
Мобильная версия сайта,Мобильная версия сайта,2525,publish,APPROVED,YES,YES,YES,YES,YES,Мобильная версия сайта,
Морда,Морда,2526,draft,MERGED,NO,NO,N/A,NO,NO,Главная страница сайта,disposition=MERGED; canonical_target=Главная страница сайта
Морфологическое вхождение,Морфологическое вхождение,2527,publish,APPROVED,YES,YES,YES,YES,YES,Морфологическое вхождение,
Мультиязычность сайта,Мультиязычность сайта,2528,publish,APPROVED,YES,YES,YES,YES,YES,Мультиязычность сайта,
Навигационный интент,Навигационный интент,2529,publish,APPROVED,YES,YES,YES,YES,YES,Навигационный интент,
Небрендовый трафик,Небрендовый трафик,2530,publish,APPROVED,YES,YES,YES,YES,YES,Небрендовый трафик,
Неестественная ссылка,Ссылочный спам,2531,draft,MERGED,NO,NO,N/A,NO,NO,Ссылочный спам,disposition=MERGED; canonical_target=Ссылочный спам
Обмен ссылками между проектами Исполнителя,Обмен ссылками между проектами Исполнителя,2532,draft,EXCLUDED,NO,NO,N/A,NO,NO,,disposition=EXCLUDED
Обмен тематически близкими ссылками,Обмен тематически близкими ссылками,2533,draft,EXCLUDED,NO,NO,N/A,NO,NO,,disposition=EXCLUDED
Обратная ссылка (backlink),Обратная ссылка,2534,publish,APPROVED_RENAME,YES,YES,YES,YES,YES,Обратная ссылка,
Оптимизация под голосовой поиск,Оптимизация под голосовой поиск,2535,publish,APPROVED,YES,YES,YES,YES,YES,Оптимизация под голосовой поиск,
Органическая выдача,Органическая выдача,2536,publish,APPROVED,YES,YES,YES,YES,YES,Органическая выдача,
Органический трафик,Органический трафик,2537,publish,APPROVED,YES,YES,YES,YES,YES,Органический трафик,
Отдел антиспама,Отдел антиспама,2538,draft,DEFERRED,NO,NO,N/A,NO,NO,,disposition=DEFERRED
Отказы (показатель отказов),Показатель отказов,2539,publish,APPROVED_RENAME,YES,YES,YES,YES,YES,Показатель отказов,
Пагинация,Пагинация,2540,publish,APPROVED,YES,YES,YES,YES,YES,Пагинация,
Панда (алгоритм),Google Panda,2541,publish,APPROVED_RENAME,YES,YES,YES,YES,YES,Google Panda,
Панель вебмастера,Панель вебмастера,2542,publish,APPROVED,YES,YES,YES,YES,YES,Панель вебмастера,
Переспам ключевыми словами,Заспамленность текста,2543,draft,MERGED,NO,NO,N/A,NO,NO,Заспамленность текста,disposition=MERGED; canonical_target=Заспамленность текста
Пингвин (алгоритм),Google Penguin,2544,publish,APPROVED_RENAME,YES,YES,YES,YES,YES,Google Penguin,
Плотность ключевых слов,Плотность ключевых слов,2545,publish,APPROVED,YES,YES,YES,YES,YES,Плотность ключевых слов,
Поведенческие факторы,Поведенческие факторы,2546,publish,APPROVED,YES,YES,YES,YES,YES,Поведенческие факторы,
Подсветка в выдаче,Подсветка в выдаче,2547,publish,APPROVED,YES,YES,YES,YES,YES,Подсветка в выдаче,
Позиции сайта,Позиции сайта,2548,publish,APPROVED,YES,YES,YES,YES,YES,Позиции сайта,
Поисковая выдача (SERP),Поисковая выдача,2549,publish,APPROVED_RENAME,YES,YES,YES,YES,YES,Поисковая выдача,
Поисковая контекстная реклама,Поисковая контекстная реклама,2550,publish,APPROVED,YES,YES,YES,YES,YES,Поисковая контекстная реклама,
Поисковая оптимизация,SEO,2551,draft,MERGED,NO,NO,N/A,NO,NO,SEO,disposition=MERGED; canonical_target=SEO
Поисковый запрос,Поисковый запрос,2552,publish,APPROVED,YES,YES,YES,YES,YES,Поисковый запрос,
Поисковый спам,Поисковый спам,2553,publish,APPROVED,YES,YES,YES,YES,YES,Поисковый спам,
Посетитель,Посетитель,2554,publish,APPROVED,YES,YES,YES,YES,YES,Посетитель,
Пост-фильтры,Пост-фильтры,2555,draft,DEFERRED,NO,NO,N/A,NO,NO,,disposition=DEFERRED
ПРЕСЕО,ПРЕСЕО,2556,draft,DEFERRED,NO,NO,N/A,NO,NO,,disposition=DEFERRED
Продвижение сайта,SEO,2557,draft,MERGED,NO,NO,N/A,NO,NO,SEO,disposition=MERGED; canonical_target=SEO
Процент вхождений,Процент вхождений,2558,draft,MERGED,NO,NO,N/A,NO,NO,Плотность ключевых слов,disposition=MERGED; canonical_target=Плотность ключевых слов
Прямые заходы,Прямые заходы,2559,publish,APPROVED,YES,YES,YES,YES,YES,Прямые заходы,
Разбавленное вхождение,Разбавленное вхождение,2560,publish,APPROVED,YES,YES,YES,YES,YES,Разбавленное вхождение,
Ранжирование,Ранжирование,2561,publish,APPROVED,YES,YES,YES,YES,YES,Ранжирование,
Редирект,Редирект,2562,publish,APPROVED,YES,YES,YES,YES,YES,Редирект,
Редирект 301,Редирект,2563,draft,MERGED,NO,NO,N/A,NO,NO,Редирект,disposition=MERGED; canonical_target=Редирект
Редирект 302,Редирект,2564,draft,MERGED,NO,NO,N/A,NO,NO,Редирект,disposition=MERGED; canonical_target=Редирект
Релевантность страницы,Релевантность страницы,2565,publish,APPROVED,YES,YES,YES,YES,YES,Релевантность страницы,
Реферальный трафик,Реферальный трафик,2566,publish,APPROVED,YES,YES,YES,YES,YES,Реферальный трафик,
Рунет,Рунет,2567,publish,APPROVED,YES,YES,YES,YES,YES,Рунет,
Сателлит,Сателлит,2568,publish,APPROVED,YES,YES,YES,YES,YES,Сателлит,
СДЛ,СДЛ,2569,publish,APPROVED,YES,YES,YES,YES,YES,СДЛ,
Семантическое ядро,Семантическое ядро,2570,publish,APPROVED,YES,YES,YES,YES,YES,Семантическое ядро,
Сервер,Сервер,2571,draft,EXCLUDED,NO,NO,N/A,NO,NO,,disposition=EXCLUDED
Сквозная аналитика,Сквозная аналитика,2572,publish,APPROVED,YES,YES,YES,YES,YES,Сквозная аналитика,
Сквозные ссылки,Внутренняя перелинковка,2573,draft,MERGED,NO,NO,N/A,NO,NO,Внутренняя перелинковка,disposition=MERGED; canonical_target=Внутренняя перелинковка
Скорость загрузки страницы,Скорость загрузки страницы,2574,publish,APPROVED,YES,YES,YES,YES,YES,Скорость загрузки страницы,
Скрипт,Скрипт,2575,draft,DEFERRED,NO,NO,N/A,NO,NO,,disposition=DEFERRED
Сниппет,Сниппет,2576,publish,APPROVED,YES,YES,YES,YES,YES,Сниппет,
СНСС (ранее НПС),СНСС (ранее НПС),2577,draft,DEFERRED,NO,NO,N/A,NO,NO,,disposition=DEFERRED
Социальные сигналы,Социальные сигналы,2578,publish,APPROVED,YES,YES,YES,YES,YES,Социальные сигналы,
СПЕКТР,СПЕКТР,2579,draft,DEFERRED,NO,NO,N/A,NO,NO,,disposition=DEFERRED
Ссылка,Ссылка,2580,draft,DEFERRED,NO,NO,N/A,NO,NO,,disposition=DEFERRED
Ссылочная масса,Ссылочная масса,2581,publish,APPROVED,YES,YES,YES,YES,YES,Ссылочная масса,
Ссылочный агрегатор,Биржа ссылок,2582,draft,MERGED,NO,NO,N/A,NO,NO,Биржа ссылок,disposition=MERGED; canonical_target=Биржа ссылок
Ссылочный взрыв,Ссылочный спам,2583,draft,MERGED,NO,NO,N/A,NO,NO,Ссылочный спам,disposition=MERGED; canonical_target=Ссылочный спам
Ссылочный граф,Ссылочный профиль,2584,draft,MERGED,NO,NO,N/A,NO,NO,Ссылочный профиль,disposition=MERGED; canonical_target=Ссылочный профиль
Ссылочный профиль,Ссылочный профиль,2585,publish,APPROVED,YES,YES,YES,YES,YES,Ссылочный профиль,
Ссылочный спам,Ссылочный спам,2586,publish,APPROVED,YES,YES,YES,YES,YES,Ссылочный спам,
Структура сайта,Структура сайта,2587,publish,APPROVED,YES,YES,YES,YES,YES,Структура сайта,
Счетчик посещаемости,Счетчик посещаемости,2588,publish,APPROVED,YES,YES,YES,YES,YES,Счетчик посещаемости,
Тег description,Метатеги,2589,draft,MERGED,NO,NO,N/A,NO,NO,Метатеги,disposition=MERGED; canonical_target=Метатеги
Тег title,Метатеги,2590,draft,MERGED,NO,NO,N/A,NO,NO,Метатеги,disposition=MERGED; canonical_target=Метатеги
Текстовые факторы,Текстовые факторы,2591,publish,APPROVED,YES,YES,YES,YES,YES,Текстовые факторы,
Техническая оптимизация,Техническая оптимизация,2592,publish,APPROVED,YES,YES,YES,YES,YES,Техническая оптимизация,
тИЦ,тИЦ,2593,publish,APPROVED,YES,YES,YES,YES,YES,тИЦ,
Топ-10 / Топ-3,Позиции сайта,2594,draft,MERGED,NO,NO,N/A,NO,NO,Позиции сайта,disposition=MERGED; canonical_target=Позиции сайта
Точное вхождение,Точное вхождение,2595,publish,APPROVED,YES,YES,YES,YES,YES,Точное вхождение,
Транзакционный интент,Транзакционный интент,2596,publish,APPROVED,YES,YES,YES,YES,YES,Транзакционный интент,
Траст сайта,Траст сайта,2597,publish,APPROVED,YES,YES,YES,YES,YES,Траст сайта,
