source_term,canonical_term,post_id,slug,category,depth,short_definition,content_file,synonyms,related_terms,seo_title,meta_description,verification_status,wordpress_apply_status
Видимость сайта,Видимость сайта,2466,vidimost-sajta,SEO fundamentals,MODERATE,"Видимость сайта — оценка того, насколько часто и заметно страницы сайта присутствуют в поисковой выдаче по выбранному набору запросов. Обычно учитывают позиции и охват семантики, а не только общий трафик.",content/glossary/batch-03/видимость-сайта.md,поисковая видимость,Позиции сайта; Органическая выдача; CTR; SEO,Видимость сайта: что это в SEO,"Что означает видимость сайта в поиске, как её оценивают и почему это не то же самое, что трафик.",Методический показатель; формулы у сервисов различаются; не заявляется единый официальный стандарт.,applied
Целевая аудитория,Целевая аудитория,2609,czelevaya-auditoriya,SEO fundamentals,MODERATE,"Целевая аудитория — группы людей, для которых предложение компании действительно релевантно. Описание ЦА помогает выбирать запросы, тон текстов и сценарии на сайте.",content/glossary/batch-03/целевая-аудитория.md,ЦА,Поисковый интент; Конверсия; УТП; Воронка продаж,Целевая аудитория: что это и зачем описывать,"Что такое целевая аудитория сайта и как описание ЦА помогает SEO, контенту и рекламе.",Методическое маркетинговое определение.,applied
Копирайтинг,Копирайтинг,2511,kopirajting,SEO fundamentals,MODERATE,"Копирайтинг — создание текстов для конкретной задачи: объяснить услугу, ответить на запрос, привести к действию или удержать внимание. В SEO текст должен быть полезен человеку и соответствовать интенту страницы.",content/glossary/batch-03/копирайтинг.md,написание текстов,Уникальность текста; Поисковый интент; Контент-маркетинг; ТЗ на копирайтинг,Копирайтинг: что это в маркетинге и SEO,"Что такое копирайтинг, чем он отличается от рерайтинга и какую роль играет в страницах сайта.",Отраслевое определение; не сводится к «набивке ключей».,applied
Линкбилдинг,Линкбилдинг,2519,linkbilding,SEO fundamentals,MODERATE,"Линкбилдинг — практика получения внешних ссылок на сайт. В здоровом виде это следствие полезного контента и партнёрств; в рискованном — покупка и накрутка, которые могут навредить.",content/glossary/batch-03/линкбилдинг.md,ссылочное продвижение,Обратная ссылка; Естественные ссылки; Ссылочный спам; Внешняя оптимизация,Линкбилдинг: что это и какие риски,"Что такое линкбилдинг, зачем нужны внешние ссылки и почему нельзя сводить работу к массовой закупке.",Отраслевой термин; правила Google/Yandex по манипуляциям ссылками учитываются осторожно.,applied
Пагинация,Пагинация,2540,paginacziya,SEO fundamentals,MODERATE,"Пагинация — разбиение длинного списка на страницы: каталог, блог, результаты фильтра. Для SEO важно, чтобы робот понимал связь страниц и не индексировал бесконечные дубли параметров.",content/glossary/batch-03/пагинация.md,постраничная навигация,Индексация; Канонический URL; Краулинговый бюджет; Структура сайта,Пагинация: что это и как влияет на SEO,"Что такое пагинация на сайте, какие риски она создаёт для индексации и как её обычно настраивают.",Техническая практика; рекомендации по rel=next/prev исторически менялись — без устаревших догм.,applied
Структура сайта,Структура сайта,2587,struktura-sajta,SEO fundamentals,MODERATE,"Структура сайта — логика разделов, страниц и связей между ними. Она помогает пользователю находить нужное, а поисковому роботу — понимать иерархию и тематику.",content/glossary/batch-03/структура-сайта.md,информационная архитектура сайта,Внутренняя перелинковка; Хлебные крошки; Посадочная страница; Семантическое ядро,Структура сайта: что это и зачем нужна,"Что такое структура сайта, как она связана с навигацией и SEO и какие признаки хорошей архитектуры.",Методическое определение.,applied
Скорость загрузки страницы,Скорость загрузки страницы,2574,skorost-zagruzki-straniczy,SEO fundamentals,MODERATE,"Скорость загрузки страницы — насколько быстро пользователь получает полезное содержимое и может начать взаимодействие. В практике измеряют лабораторные и полевые метрики, а не одну субъективную оценку.",content/glossary/batch-03/скорость-загрузки-страницы.md,скорость сайта,Core Web Vitals; UX и UI; CDN; Кеширование,Скорость загрузки страницы: что измерять,"Что означает скорость загрузки страницы, какие метрики смотреть и почему «секунды в браузере» — не единственный критерий.",Связано с web performance / CWV; не заявляется как единственный фактор ранжирования.,applied
Уникальность текста,Уникальность текста,2600,unikalnost-teksta,SEO fundamentals,MODERATE,"Уникальность текста — степень отличия материала от уже опубликованных копий. Для сайта важнее полезный оригинал, чем формальный процент в проверщике.",content/glossary/batch-03/уникальность-текста.md,уникальность контента,Копирайтинг; Шингл; Переоптимизация; Дубли страниц,Уникальность текста: что это и зачем проверяют,"Что значит уникальность текста для сайта, чем она отличается от пользы и почему процент антиплагиата не равен качеству.",Отраслевая практика; пороги сервисов проверки не являются официальным стандартом Google/Yandex.,applied
Релевантность страницы,Релевантность страницы,2565,relevantnost-straniczy,SEO fundamentals,MODERATE,"Релевантность страницы — насколько содержание, заголовок и сниппет соответствуют намерению пользователя по запросу. Это основа того, почему страница может быть полезна в выдаче.",content/glossary/batch-03/релевантность-страницы.md,соответствие запросу,Поисковый интент; Ранжирование; Сниппет; Ключевое слово,Релевантность страницы: что это в поиске,Что такое релевантность страницы запросу и как её оценивают с точки зрения пользователя и SEO.,Концептуальное определение; точная формула релевантности у ПС не публикуется.,applied
Фактор ранжирования,Фактор ранжирования,2604,faktor-ranzhirovaniya,SEO fundamentals,MODERATE,"Фактор ранжирования — сигнал или группа сигналов, которые поисковая система может учитывать при упорядочивании результатов. Точный состав и веса публично не раскрываются.",content/glossary/batch-03/фактор-ранжирования.md,сигнал ранжирования,Ранжирование; Алгоритм ранжирования; SEO; Поведенческие факторы,Фактор ранжирования: что это значит,Что называют фактором ранжирования в SEO и почему нельзя публиковать «полный список весов» как факт.,Отраслевой термин; полные веса сигналов у ПС не раскрываются.,applied
Мобильная версия сайта,Мобильная версия сайта,2525,mobilnaya-versiya-sajta,SEO fundamentals,MODERATE,"Мобильная версия сайта — представление сайта для смартфонов: отдельный URL, поддомен или адаптивный шаблон. Важно, чтобы ключевой контент и функциональность были доступны на мобильных устройствах.",content/glossary/batch-03/мобильная-версия-сайта.md,мобильный сайт,Mobile-first indexing; Адаптивная вёрстка; Core Web Vitals; UX и UI,Мобильная версия сайта: что это,Что такое мобильная версия сайта и чем она отличается от адаптивной вёрстки в контексте SEO.,Связано с mobile-first indexing Google; паритет контента важен.,applied
Главное зеркало сайта,Главное зеркало сайта,2477,glavnoe-zerkalo-sajta,SEO fundamentals,MODERATE,"Главное зеркало сайта — выбранный основной адрес, на который должны сходиться варианты с www и без, HTTP и HTTPS и другие дубли хоста. Это снижает размытие сигналов между копиями.",content/glossary/batch-03/главное-зеркало-сайта.md,основное зеркало,Канонический URL; Редирект; Домен; HTTPS,Главное зеркало сайта: что это,Что такое главное зеркало сайта и зачем сводить www/non-www и HTTP/HTTPS к одному варианту.,Практика каноникализации зеркал; детали в Вебмастере/GSC.,applied
Устранение дублей,Устранение дублей,2602,ustranenie-dublej,SEO fundamentals,MODERATE,"Устранение дублей — набор мер, чтобы один и тот же или почти одинаковый контент не конкурировал в индексе под разными URL. Цель — выбрать предпочтительную страницу и согласовать сигналы.",content/glossary/batch-03/устранение-дублей.md,дедупликация URL,Дубли страниц; Канонический URL; Параметры URL; Главное зеркало сайта,Устранение дублей: что делают в SEO,"Что значит устранение дублей страниц и какие инструменты используют: редиректы, canonical, параметры.",Методическая практика на базе каноникализации Search Central / Webmaster.,applied
Белая оптимизация,Белая оптимизация,2458,belaya-optimizacziya,SEO fundamentals,SIMPLE,"Белая оптимизация — продвижение сайта методами, ориентированными на пользу пользователю и соблюдение правил поисковых систем: качество контента, техника, прозрачные ссылки.",content/glossary/batch-03/белая-оптимизация.md,white hat,Чёрные методы оптимизации; SEO; E-E-A-T,Белая оптимизация: что это,Что называют белой оптимизацией и чем она отличается от манипулятивных методов продвижения.,Отраслевое противопоставление white/black hat; не юридический термин.,applied
