source_term,canonical_term,post_id,slug,category,depth,short_definition,content_file,synonyms,related_terms,seo_title,meta_description,verification_status,wordpress_apply_status
AMP (ускоренные мобильные страницы),AMP,2621,amp,technical SEO,MODERATE,"AMP — технология и формат облегчённых мобильных страниц, которые Google продвигал для быстрой загрузки контента на смартфонах.",content/glossary/batch-04/amp.md,Accelerated Mobile Pages; ускоренные мобильные страницы,Мобильная версия сайта; Mobile-first indexing; Скорость загрузки страницы; Core Web Vitals,AMP: что это и актуальна ли технология,"Что такое AMP, зачем Google развивал ускоренные мобильные страницы и почему технология не является универсальным способом улучшить позиции.",Историческая технология Google AMP; специальные требования для ряда поверхностей Google со временем сокращались; AMP не является самостоятельной гарантией ранжирования.,applied
BERT,BERT,2622,bert,content and semantics,COMPLEX,"BERT — семейство языковых моделей, которое Google использует в поиске для более точного понимания смысла отдельных запросов и документов. Название не означает отдельный переключатель, который можно включить в настройках сайта.",content/glossary/batch-04/bert.md,Bidirectional Encoder Representations from Transformers; алгоритм BERT,Поисковый интент; Релевантность страницы; RankBrain; Neural Matching,BERT в Google: что это для поиска,"Что такое BERT в поиске Google, как он помогает понимать формулировки запросов и почему под него нельзя настроить сайт отдельным чек-листом.","Google публично описывал применение BERT для лучшего понимания запросов и контента; точные модели, охват и веса не раскрываются; не система Яндекса.",applied
BM25 (Okapi BM25),BM25,2623,bm25,search engines and indexing,COMPLEX,"BM25, или Okapi BM25, — классическая функция ранжирования из информационного поиска. Она оценивает, насколько документ соответствует запросу, учитывая совпадения терминов, длину текста и распространённость слов в коллекции.",content/glossary/batch-04/bm25.md,Okapi BM25; Best Matching 25,Релевантность страницы; TF-IDF; Ранжирование; Ключевое слово,BM25: что это в информационном поиске,"Что такое BM25, как классическая функция оценивает соответствие документа запросу и почему её нельзя выдавать за формулу современного Google.",Классическая вероятностная функция ранжирования в information retrieval; не является публично подтверждённой единой формулой Google или Яндекса.,applied
DA (Domain Authority),Domain Authority,2634,domain-authority,link building,MODERATE,Domain Authority — прогнозная метрика Moz для сравнительной оценки доменов по собственной модели сервиса.,content/glossary/batch-04/domain-authority.md,DA; авторитетность домена,Domain Rating; Ссылочный профиль; Донор ссылки; Линкбилдинг,Domain Authority (DA): что показывает метрика Moz,"Что такое Domain Authority от Moz, как использовать DA при оценке доменов и почему это не официальная метрика Google или Яндекса.",Проприетарная метрика Moz; не является показателем Google или Яндекса и не раскрывает их алгоритмы ранжирования.,applied
DR (Domain Rating),Domain Rating,2636,domain-rating,link building,MODERATE,Domain Rating — метрика Ahrefs для относительной оценки ссылочного профиля домена по данным сервиса.,content/glossary/batch-04/domain-rating.md,DR; рейтинг домена,Domain Authority; Ссылочный профиль; Донор ссылки; Обратная ссылка,Domain Rating (DR): что показывает метрика Ahrefs,"Что такое Domain Rating от Ahrefs, что он помогает оценить в ссылочном профиле и почему DR не является официальным рейтингом поисковиков.","Проприетарная метрика Ahrefs, основанная преимущественно на ссылочном профиле; не является показателем Google или Яндекса.",applied
GET-параметр (CGI-параметр),GET-параметр,2643,get-parametr,technical SEO,MODERATE,"GET-параметр — часть URL после знака вопроса, передающая фильтр, сортировку, метку аналитики или другие данные.",content/glossary/batch-04/get-параметр.md,URL-параметр; query parameter; CGI-параметр,Канонический URL; Дубли страниц; Устранение дублей; UTM-метки,GET-параметр: что это в URL и SEO,"Что такое GET-параметр в URL, как он передаёт данные и почему параметры фильтрации и аналитики могут создавать дубли страниц.","Термин HTTP/URL; CGI — исторически распространённое, но не исчерпывающее название; SEO-эффект зависит от реализации URL.",applied
Google AdSense,Google AdSense,2645,google-adsense,contextual advertising,MODERATE,"Google AdSense — сервис Google, через который владельцы сайтов размещают рекламу и могут получать доход по правилам программы.",content/glossary/batch-04/google-adsense.md,AdSense,Google Ads; Контекстная реклама; CPC; Кликфрод,Google AdSense: что это за сервис,"Что такое Google AdSense, как издатели размещают объявления на сайте и чем сервис отличается от Google Ads.","Продукт Google для издателей; доступность, требования и правила зависят от региона и действующих политик Google.",applied
Neural Matching,Neural Matching,2661,neural-matching,AI search and GEO,COMPLEX,"Neural Matching — название технологии Google, которая помогает сопоставлять смысл запроса с содержанием документов, даже когда слова не совпадают буквально. Её цель — улучшить релевантность результата для пользователя.",content/glossary/batch-04/neural-matching.md,нейронное сопоставление; нейросетевое сопоставление,Поисковый интент; Релевантность страницы; BERT; RankBrain,Neural Matching: что это в Google Поиске,"Что такое Neural Matching в Google Поиске, как технология помогает сопоставлять смысл запроса и страницы и какие выводы для SEO делать нельзя.",Google публично описывал neural matching как технологию сопоставления запросов и документов; внутренняя реализация и веса непрозрачны; не термин для алгоритмов Яндекса.,applied
PBN,PBN,2664,pbn,link building,MODERATE,"PBN — сеть контролируемых сайтов, используемая преимущественно для размещения ссылок на продвигаемый ресурс.",content/glossary/batch-04/pbn.md,Private Blog Network; сеть сайтов для ссылочного продвижения,Ссылочный спам; Линкбилдинг; Сателлит; Google Spam Update,PBN: что это и какие риски,"Что такое PBN в SEO, почему сети сайтов используют для ссылок и какие риски создают манипулятивные схемы.",Отраслевой термин; манипулятивные ссылочные схемы могут нарушать spam policies поисковых систем; конкретные признаки и реакция систем не раскрываются полностью.,applied
PR (PageRank),PageRank,2665,pagerank,link building,MODERATE,"PageRank — исторически известная модель Google, связывающая значение страницы с системой ссылок на неё.",content/glossary/batch-04/pagerank.md,пейджранк; PR,Обратная ссылка; Ссылочный профиль; Линкбилдинг; Domain Authority,PageRank: что это и почему Toolbar PR устарел,"Что такое PageRank в истории Google, как связан со ссылками и почему старый публичный показатель Toolbar PageRank больше не используется.",Историческая модель Google; публичный Toolbar PageRank прекращён; внутренние сигналы и их веса не раскрываются.,applied
