14268	_section_nature_cards	field_fp02_section_nature_cards
14266	_section_nature_cards_1_text	field_fp02_section_nature_card_text
14264	_section_nature_cards_1_title	field_fp02_section_nature_card_title
14224	_section_nature_genotyping_after_text	field_fp02_section_nature_genotyping_after_text
14216	_section_nature_genotyping_heading	field_fp02_section_nature_genotyping_heading
14220	_section_nature_genotyping_link_label	field_fp02_section_nature_genotyping_link_label
14222	_section_nature_genotyping_link_url	field_fp02_section_nature_genotyping_link_url
14218	_section_nature_genotyping_text	field_fp02_section_nature_genotyping_text
14208	_section_nature_heading	field_fp02_section_nature_heading
14210	_section_nature_lead	field_fp02_section_nature_lead
14212	_section_nature_neurobiology_heading	field_fp02_section_nature_neurobiology_heading
14214	_section_nature_neurobiology_text	field_fp02_section_nature_neurobiology_text
14594	_section_nature_text_blocks	field_fp02_section_nature_text_blocks
14178	_section_nature_visible	field_fp02_section_nature_visible
14267	section_nature_cards	
14265	section_nature_cards_1_text	
14263	section_nature_cards_1_title	Поведенческое проявление
14223	section_nature_genotyping_after_text	
14215	section_nature_genotyping_heading	Генотипирование
14219	section_nature_genotyping_link_label	Подробнее о генотипировании
14221	section_nature_genotyping_link_url	http://shpigovsky.test/uslugi/zavisimosti/profilakticheskiy-analiz/
14217	section_nature_genotyping_text	
14207	section_nature_heading	Природа зависимости
14209	section_nature_lead	
14211	section_nature_neurobiology_heading	Нейробиология
14213	section_nature_neurobiology_text	
14593	section_nature_text_blocks	
14177	section_nature_visible	1
