status,route,php_noise,old_title
200,/,clean,absent
200,/o-centre/,clean,absent
200,/o-centre/programma-lecheniya/,clean,absent
200,/o-centre/programma-lecheniya/genotipirovanie/,clean,absent
200,/o-centre/programma-lecheniya/prostranstvo-vosstanovleniya/,clean,absent
200,/o-centre/programma-lecheniya/psihokorrektsiya/,clean,absent
200,/o-centre/programma-lecheniya/kinezioterapiya/,clean,absent
200,/uslugi/,clean,absent
200,/uslugi/zavisimosti/,clean,absent
200,/uslugi/zavisimosti/lechenie-opiumnoy-zavisimosti/,clean,absent
200,/kontakty/,clean,absent
200,/blog/,clean,absent
200,/otzyvy/,clean,absent
200,/?s=лечение,clean,absent
404,/this-page-does-not-exist-v907a01/,clean,absent
