"path","side","source","runtime","match"
"functions.php","theme","DFCEBB174202DAD6A22027926F972EE3DFB4C4082669E6F99150E02EE3AD197C","DFCEBB174202DAD6A22027926F972EE3DFB4C4082669E6F99150E02EE3AD197C","True"
"inc/reviews-helpers.php","theme","963E3C686335A60E3352932CA9FA9F0B914006F81AB38F36FDA9B61E9BAD32C8","963E3C686335A60E3352932CA9FA9F0B914006F81AB38F36FDA9B61E9BAD32C8","True"
"inc/pagination-seo.php","theme","E71BE7EA35C507B4EAB3946DF0A1D238C1272C594759C778DD322BA20654B299","E71BE7EA35C507B4EAB3946DF0A1D238C1272C594759C778DD322BA20654B299","True"
"template-parts/components/review-archive-card.php","theme","4204C156E23DC944D8F04B0DA7E26DB8FEA12E509B5FF391D2BB44184D7D10A0","4204C156E23DC944D8F04B0DA7E26DB8FEA12E509B5FF391D2BB44184D7D10A0","True"
"template-parts/reviews/archive-list.php","theme","DF63B51FC4B15556D7A48A68190D40452FA53EAB21D2F16B6CFDB90EA85EEBF5","DF63B51FC4B15556D7A48A68190D40452FA53EAB21D2F16B6CFDB90EA85EEBF5","True"
"template-parts/shared/reviews-slider.php","theme","D790753DE55F20FA0150FC525EC3A6C575FBA1E20A3812B3900D5D839598D203","D790753DE55F20FA0150FC525EC3A6C575FBA1E20A3812B3900D5D839598D203","True"
"assets/js/v9-shell.js","theme","75C80250E40DF6D6C1244761C34E13E3B46102BBCC1A7C565E7289A41A7DD6D4","75C80250E40DF6D6C1244761C34E13E3B46102BBCC1A7C565E7289A41A7DD6D4","True"
"assets/css/v9-style.css","theme","18114D3CBC982F86A895AADB9923D8ED9DF229D3438D999FC082628A428AB4E4","18114D3CBC982F86A895AADB9923D8ED9DF229D3438D999FC082628A428AB4E4","True"
"src/Fields/FieldGroups.php","plugin","C702D17727F32790542C18CBE8644B08AD73A66FE3DFB98A43C7464B9C86AFB4","C702D17727F32790542C18CBE8644B08AD73A66FE3DFB98A43C7464B9C86AFB4","True"
"src/Admin/OptionsPage.php","plugin","17993721A9BBA0C17D73072566517B22E11AD5C5236E9D753347106E8DD190D7","17993721A9BBA0C17D73072566517B22E11AD5C5236E9D753347106E8DD190D7","True"
"group_fp02_block_founder_quote.json","acf","7357A53AB83489A46AAB5808301B5B8B1F0FF421800E48D09CBCA83C9345A2EA","7357A53AB83489A46AAB5808301B5B8B1F0FF421800E48D09CBCA83C9345A2EA","True"
