"group_id","status","keyword_count","export_to_xlsx"
"CORV-G08-01","ACTIVE","18","true"
"CORV-G08-02","ACTIVE","10","true"
"CORV-G06-05","ACTIVE NARROW","2","true"
"CORV-G06-06","CONTROLLED TEST","3","true"
"CORV-G06-07","ACTIVE NARROW","1","true"
"CORV-G06-08","ACTIVE","8","true"
"CORV-G06-09","ACTIVE NARROW","1","true"
"CORV-G06-10","ACTIVE","10","true"
"CORV-G06-11","ACTIVE NARROW","2","true"
"CORV-G06-12","ACTIVE NARROW","1","true"
"CORV-G06-13","ACTIVE NARROW","1","true"
"CORV-G06-03","ACTIVE","25","true"
"CORV-G06-04","ACTIVE NARROW","1","true"
"CORV-G06-01","ACTIVE","18","true"
"CORV-G06-02","CONTROLLED TEST","3","true"
"CORV-G07-03","ACTIVE","4","true"
"CORV-G07-02","ACTIVE","4","true"
"CORV-G07-04","ACTIVE NARROW","1","true"
"CORV-G07-01","ACTIVE","4","true"
"CORV-G05-02","ACTIVE","20","true"
"CORV-G05-01","ACTIVE","9","true"
"CORV-G05-03","ACTIVE","9","true"
"CORV-G05-06","ACTIVE NARROW","2","true"
"CORV-G05-04","ACTIVE","20","true"
"CORV-G05-05","ACTIVE","4","true"
"CORV-G04-01","ACTIVE NARROW","2","true"
"CORV-G04-02","ACTIVE NARROW","1","true"
"CORV-G04-03","ACTIVE NARROW","1","true"
"CORV-G03-04","ACTIVE","6","true"
"CORV-G03-06","ACTIVE NARROW","2","true"
"CORV-G03-05","ACTIVE","20","true"
"CORV-G03-02","ACTIVE NARROW","2","true"
"CORV-G03-01","ACTIVE","4","true"
"CORV-G03-03","ACTIVE","25","true"
"CORV-G02-04","ACTIVE NARROW","2","true"
"CORV-G02-05","ACTIVE NARROW","2","true"
"CORV-G02-06","ACTIVE NARROW","1","true"
"CORV-G02-02","ACTIVE","7","true"
"CORV-G02-03","ACTIVE NARROW","1","true"
"CORV-G02-01","ACTIVE","25","true"
"CORV-G01-02","ACTIVE NARROW","2","true"
"CORV-G01-07","CONTROLLED TEST","3","true"
"CORV-G01-06","CONTROLLED TEST","3","true"
"CORV-G01-05","ACTIVE","25","true"
"CORV-G01-04","ACTIVE NARROW","2","true"
"CORV-G01-03","ACTIVE NARROW","2","true"
"CORV-G01-08","ACTIVE","7","true"
"CORV-G01-01","ACTIVE","22","true"
