"group_id","phrase","tier","bid"
"CORV-G08-01","1с розница подключение тс пиот","T3","350"
"CORV-G08-01","настройка подключения к тс пиот 1с","T3","342"
"CORV-G08-01","настройка подключения к тс пиот 1с розница","T3","327"
"CORV-G08-01","настройка тс пиот в 1с розница","T3","312"
"CORV-G08-01","настройка тс пиот в 1с розница 2.3","T4","197"
"CORV-G08-01","настройка тс пиот в 1с розница 3","T4","182"
"CORV-G08-01","настройка тс пиот в 1с розница 3.0","T4","180"
"CORV-G08-01","настройка тс пиот в 1с унф","T3","252"
"CORV-G08-01","настройка тс пиот в 1с ут","T3","250"
"CORV-G08-01","настройка тс пиот в 1с ут 11.5","T3","250"
"CORV-G08-01","не удалось подключиться к тс пиоту 1с","T3","250"
"CORV-G08-01","подключение тс пиот к 1с","T3","250"
"CORV-G08-01","тс пиот 1с розница 2.3","T3","250"
"CORV-G08-01","тс пиот 1с розница 3","T3","250"
"CORV-G08-01","тс пиот 1с розница 3.0","T3","250"
"CORV-G08-01","тс пиот и 1с розница","T3","250"
"CORV-G08-01","тс пиот настройка в 1с","T3","250"
"CORV-G08-01","тс пиот честный знак 1с розница","T3","250"
"CORV-G08-02","1с ут тс пиот","T3","350"
"CORV-G08-02","модуль тс пиот 1с","T3","342"
"CORV-G08-02","тс пиот 1с атол","T3","327"
"CORV-G08-02","тс пиот 1с бухгалтерия","T3","312"
"CORV-G08-02","тс пиот 1с касса","T3","297"
"CORV-G08-02","тс пиот 1с рмк","T3","282"
"CORV-G08-02","тс пиот в 1с унф","T3","267"
"CORV-G08-02","тс пиот как установить в 1с","T3","252"
"CORV-G08-02","тс пиот установка 1с","T3","250"
"CORV-G08-02","тс пиот честный знак 1с","T4","180"
"CORV-G06-05","1с маркировка пива","T3","350"
"CORV-G06-05","маркировка пива 1с","T3","332"
"CORV-G06-06","1с маркировка воды","T3","350"
"CORV-G06-06","маркировка воды 1с","T3","332"
"CORV-G06-06","маркировка воды в 1с","T3","307"
"CORV-G06-07","маркировка косметики 1с","T3","350"
"CORV-G06-08","маркировка лекарств","T3","350"
"CORV-G06-08","маркировка лекарств 1с","T3","342"
"CORV-G06-08","маркировка лекарств аптека","T4","227"
"CORV-G06-08","маркировка лекарств проверить","T3","312"
"CORV-G06-08","маркировка упаковки лекарств","T3","297"
"CORV-G06-08","проверка маркировки лекарств","T3","282"
"CORV-G06-08","систему маркировки лекарств","T3","267"
"CORV-G06-08","честный знак маркировка лекарств","T3","252"
"CORV-G06-09","маркировка бытовой химии 1с","T4","250"
"CORV-G06-10","автозапчасти маркировка честный знак","T3","350"
"CORV-G06-10","маркировка автозапчастей","T3","342"
"CORV-G06-10","маркировка автозапчастей 1с","T3","327"
"CORV-G06-10","маркировка автозапчастей 2026","T3","312"
"CORV-G06-10","маркировка автозапчастей честный","T3","297"
"CORV-G06-10","маркировка автозапчастей честный знак 2026","T3","282"
"CORV-G06-10","маркировка остатков автозапчастей","T3","267"
"CORV-G06-10","маркировка товара автозапчасти","T3","252"
"CORV-G06-10","нужна ли маркировка на автозапчасти","T3","250"
"CORV-G06-10","опубликован проект по маркировке автозапчастей","T3","250"
"CORV-G06-11","в 1с маркировка моторные масла","T4","250"
"CORV-G06-11","маркировка масел 1с","T4","232"
"CORV-G06-12","маркировка техники 1с","T4","250"
"CORV-G06-13","маркировка строительных материалов 1с","T4","250"
"CORV-G06-03","1с 8.3 честный знак","T2","450"
"CORV-G06-03","1с бухгалтерия честный знак","T1","542"
"CORV-G06-03","1с номенклатура честный знак","T1","527"
"CORV-G06-03","1с торговля честный знак","T1","512"
"CORV-G06-03","1с унф честный знак","T1","497"
"CORV-G06-03","агрегация кодов маркировки честный знак в 1с","T1","482"
"CORV-G06-03","интеграция 1с и честный знак","T1","467"
"CORV-G06-03","коды маркировки честный знак в 1с","T1","452"
"CORV-G06-03","лм честный знак 1с","T1","450"
"CORV-G06-03","маркировка остатков честный знак в 1с","T1","450"
"CORV-G06-03","маркировка товаров в 1с честный знак","T1","450"
"CORV-G06-03","маркировка честный знак в 1с","T1","450"
"CORV-G06-03","маркировка честный знак в 1с бухгалтерия","T1","450"
"CORV-G06-03","маркировка честный знак в 1с розница","T1","450"
"CORV-G06-03","маркировка честный знак в 1с унф","T1","450"
"CORV-G06-03","маркировка честный знак в 1с ут","T1","450"
"CORV-G06-03","маркировка честный знак в 1с erp","T1","450"
"CORV-G06-03","настройка честного знака в 1с","T1","450"
"CORV-G06-03","работа с маркировкой честный знак в 1с","T1","450"
"CORV-G06-03","работа с честным знаком в 1с","T1","450"
"CORV-G06-03","честный знак 1с","T1","450"
"CORV-G06-03","честный знак в 1с","T1","450"
"CORV-G06-03","честный знак в 1с ут","T1","450"
"CORV-G06-03","честный знак модуль 1с","T1","450"
"CORV-G06-03","честный знак через 1с","T1","450"
