"level","group_id","keyword","negative","result","note"
"global","CORV-G08-01","1с розница подключение тс пиот","работа программист","SAFE_PASS","Representative non-blocking check"
"global","CORV-G06-05","маркировка пива 1с","работа программист","SAFE_PASS","Representative non-blocking check"
"global","CORV-G06-03","1с бухгалтерия честный знак","работа программист","SAFE_PASS","Representative non-blocking check"
"global","CORV-G06-01","настроить маркировку в 1с","работа программист","SAFE_PASS","Representative non-blocking check"
"global","CORV-G07-01","срочно программист 1с","работа программист","SAFE_PASS","Representative non-blocking check"
"global","CORV-G05-01","управление сайтом интеграция с 1с","работа программист","SAFE_PASS","Representative non-blocking check"
"global","CORV-G05-04","синхронизация документов 1с","работа программист","SAFE_PASS","Representative non-blocking check"
"global","CORV-G03-05","1с зуп внешняя печатная форма","работа программист","SAFE_PASS","Representative non-blocking check"
"global","CORV-G03-03","макет печатной формы в 1с 8.3","работа программист","SAFE_PASS","Representative non-blocking check"
"global","CORV-G02-01","договор доработка 1с","работа программист","SAFE_PASS","Representative non-blocking check"
"global","CORV-G01-05","асп сопровождение 1с","работа программист","SAFE_PASS","Representative non-blocking check"
"global","CORV-G01-08","1с программист без образования","работа программист","SAFE_PASS","Representative non-blocking check"
"direction","CORV-G08-01","1с розница подключение тс пиот","вакансия","SAFE_PASS","Representative non-blocking check"
"direction","CORV-G06-06","1с маркировка воды","программист вакансия","SAFE_PASS","Representative non-blocking check"
"direction","CORV-G06-10","маркировка остатков автозапчастей","битрикс","SAFE_PASS","Representative non-blocking check"
"direction","CORV-G06-03","маркировка честный знак в 1с","не работает 1с","SAFE_PASS","Representative non-blocking check"
"direction","CORV-G06-01","настроить маркировку в 1с","как сделать","SAFE_PASS","Representative non-blocking check"
"direction","CORV-G07-03","почему не работает синхронизация в 1с","как настроить","SAFE_PASS","Representative non-blocking check"
"direction","CORV-G05-03","1с мобильная касса настройка синхронизации","сопровождение","SAFE_PASS","Representative non-blocking check"
"direction","CORV-G03-05","1с 3.0 внешние печатные формы","доработка базы","SAFE_PASS","Representative non-blocking check"
"direction","CORV-G03-03","1с унф печатные формы","программист вакансия","SAFE_PASS","Representative non-blocking check"
"direction","CORV-G02-01","доработка 1с","рмк","SAFE_PASS","Representative non-blocking check"
"direction","CORV-G01-05","информационно технологическое сопровождение 1с","ошибка","SAFE_PASS","Representative non-blocking check"
"direction","CORV-G01-08","ищу 1с программиста для разовой задачи","честный знак","SAFE_PASS","Representative non-blocking check"
"group_cross","CORV-G08-01","1с розница подключение тс пиот","интеграц","SAFE_PASS","Representative non-blocking check"
"group_cross","CORV-G06-08","честный знак маркировка лекарств","сроки","SAFE_PASS","Representative non-blocking check"
"group_cross","CORV-G06-03","маркировка товаров в 1с честный знак","доработка","SAFE_PASS","Representative non-blocking check"
"group_cross","CORV-G06-01","настройка маркировки в 1с розница 2.3","пив","SAFE_PASS","Representative non-blocking check"
"group_cross","CORV-G05-02","битрикс интернет магазины интеграцией 1с","касса","SAFE_PASS","Representative non-blocking check"
"group_cross","CORV-G05-04","1с бп синхронизация","битрикс","SAFE_PASS","Representative non-blocking check"
"group_cross","CORV-G03-06","доработка рмк 1с","касса","SAFE_PASS","Representative non-blocking check"
"group_cross","CORV-G03-03","печатные формы 1с","доработк","SAFE_PASS","Representative non-blocking check"
"group_cross","CORV-G02-01","доработка 1с унф","маркировка","SAFE_PASS","Representative non-blocking check"
"group_cross","CORV-G01-06","сопровождение и обслуживание 1с предприятие","абонент","SAFE_PASS","Representative non-blocking check"
"group_cross","CORV-G01-05","сопровождение учета в 1с","настройка","SAFE_PASS","Representative non-blocking check"
"group_cross","CORV-G01-01","отзыв программисту 1с","сопровождение","SAFE_PASS","Representative non-blocking check"
"phrase_inline","CORV-G01-01","1с программист 2026 -вакансия -обучение -курсы -резюме -как стать","вакансия","SAFE_PASS","Representative non-blocking check"
"phrase_inline","CORV-G01-01","задание программисту 1с","как стать","SAFE_PASS","Representative non-blocking check"
"phrase_inline","CORV-G01-01","найти программиста 1с","резюме","SAFE_PASS","Representative non-blocking check"
"phrase_inline","CORV-G01-01","отзыв программисту 1с","курсы","SAFE_PASS","Representative non-blocking check"
"phrase_inline","CORV-G01-01","программист 1с","обучение","SAFE_PASS","Representative non-blocking check"
"phrase_inline","CORV-G01-01","программист 1с удаленно","вакансия","SAFE_PASS","Representative non-blocking check"
"phrase_inline","CORV-G01-01","программист аналитик 1с","как стать","SAFE_PASS","Representative non-blocking check"
"phrase_inline","CORV-G01-01","программисты 1с спб","резюме","SAFE_PASS","Representative non-blocking check"
"phrase_inline","CORV-G01-01","сколько зарабатывает программист 1с","курсы","SAFE_PASS","Representative non-blocking check"
"phrase_inline","CORV-G01-01","стал программистом 1с","обучение","SAFE_PASS","Representative non-blocking check"
"phrase_inline","CORV-G01-01","стоимость часа 1с программиста","вакансия","SAFE_PASS","Representative non-blocking check"
"phrase_inline","CORV-G01-01","технические задания программистам 1с","как стать","SAFE_PASS","Representative non-blocking check"
"group_export","CORV-G08-01","1с розница подключение тс пиот","интеграц","SAFE_PASS","Representative non-blocking check"
"group_export","CORV-G06-08","маркировка лекарств","тс пиот","SAFE_PASS","Representative non-blocking check"
"group_export","CORV-G06-12","маркировка техники 1с","тс пиот","SAFE_PASS","Representative non-blocking check"
"group_export","CORV-G06-03","честный знак 1с","сроки маркировки","SAFE_PASS","Representative non-blocking check"
"group_export","CORV-G06-01","настройки сканирования кодов маркировки в 1с","сопровождение абонент","SAFE_PASS","Representative non-blocking check"
"group_export","CORV-G05-02","интеграция 1с и битрикс 24","сопровождение","SAFE_PASS","Representative non-blocking check"
"group_export","CORV-G05-04","синхронизация 1с","битрикс","SAFE_PASS","Representative non-blocking check"
"group_export","CORV-G03-05","внешняя печатная форма 1с 8.3 управляемое","доработка базы","SAFE_PASS","Representative non-blocking check"
