"route","status","bytes","php_noise","robots","duplicate_id_groups"
"/","200","209343","False","","0"
"/uslugi/","200","136358","False","","0"
"/uslugi/zavisimosti/","200","153877","False","","0"
"/uslugi/zavisimosti/lechenie-alkogolnoy-zavisimosti/","200","157209","False","","0"
"/uslugi/psihicheskoe-zdorovie/depressiya/","200","136674","False","","0"
"/uslugi/rasstroystva-pischevogo-povedeniya/anoreksiya/","200","136745","False","","0"
"/o-centre/","200","150393","False","","0"
"/o-centre/programma-lecheniya/","200","71583","False","","0"
"/o-centre/programma-lecheniya/genotipirovanie/","200","71606","False","","0"
"/o-centre/programma-lecheniya/neyropsihologicheskaya-korrektsiya/","200","71750","False","","0"
"/o-centre/programma-lecheniya/psihokorrektsiya/","200","71603","False","","0"
"/o-centre/programma-lecheniya/kinezioterapiya/","200","71600","False","","0"
"/o-centre/galereya-o-dome/","200","71538","False","","0"
"/specyalisty/","200","71415","False","","0"
"/specyalisty/shipovsky/","200","72079","False","","0"
"/specyalisty/kostyuk/","200","72120","False","","0"
"/kontakty/","200","81665","False","","0"
"/blog/","200","95156","False","","0"
"/blog/page/2/","200","81764","False","","0"
"/blog/demo-pagination-article-01/","200","75857","False","","0"
"/otzyvy/","200","95220","False","","0"
"/otzyvy/page/2/","200","101360","False","","0"
"/otzyvy/page/3/","200","101370","False","","0"
"/?s=","200","70212","False","","0"
"/?s=центр","200","76455","False","","0"
"/?s=zzznomatchxyz","200","70501","False","","0"
"/privacy-policy/","200","82370","False","","0"
"/this-route-does-not-exist-e63-404/","404","0","False","","0"
