"route","status","bytes","php_noise"
"/?s=лечение&paged=2","404","0","False"
"/blog/demo-pagination-article-01/","200","75857","False"
"/blog/demo-pagination-article-02/","200","75857","False"
"/o-centre/programma-lecheniya/detoksikaciya/","404","0","False"
"/o-centre/programma-lecheniya/reabilitaciya/","404","0","False"
"/page/2/?s=лечение","404","0","False"
"/politika-konfidencialnosti/","404","0","False"
"/search/лечение/page/2/","404","0","False"
"/specyalisty/","200","71415","False"
"/uslugi/psihicheskie-rasstrojstva/","404","0","False"
"/uslugi/psihicheskie-rasstrojstva/depressiya/","200","136674","False"
"/uslugi/zavisimosti/","200","153877","False"
"/uslugi/zavisimosti/lechenie-alkogolnoj-zavisimosti/","404","0","False"
